ISBN,Title,Author,Genre,Publication Year,Copies Available,Acquisition Date,Status,ISBN_Clean
978-0-437-51866-8,Centralized needs-based implementation,Dr Maria Reynolds,Non-Fiction,2007,7,2023-01-20,Checked Out,978-0-437-51866-8
978-0-86542-438-8,Intuitive demand-driven process improvement,Paige Bryan,Fiction,2008,9,2025-04-04,Checked Out,978-0-86542-438-8
978-1-928550-74-7,Front-line zero administration encoding,Stuart Cooper,Fiction,2001,2,2024-03-26,Reserved,978-1-928550-74-7
978-1-09-528895-5,Re-engineered grid-enabled flexibility,Maurice Kemp,Fiction,1992,5,2025-10-06,Checked Out,978-1-09-528895-5
978-1-03-969645-7,Total non-volatile circuit,Paula Hodgson,Non-Fiction,2004,7,2022-01-26,Missing,978-1-03-969645-7
978-1-917650-47-2,Multi-lateral actuating Local Area Network,Sharon Chan,Reference,1968,4,2022-07-05,Reserved,978-1-917650-47-2
9780009954283,Open-source contextually-based protocol,Dylan Richardson,Reference,1981,7,2025-03-08,Checked Out,9780009954283
9780449668665,Polarized composite instruction set,Philip Hargreaves,Young Adult,2021,7,2018-08-06,Damaged,9780449668665
978-1-70617-069-3,De-engineered 6thgeneration portal,Victor Gibbons,Reference,1980,8,2017-12-16,Missing,978-1-70617-069-3
978-0-497-11038-3,Devolved global utilization,June Brown,Reference,1984,9,2017-11-06,Available,978-0-497-11038-3
978-1-156-75665-2,Automated 24/7 neural-net,Gemma Jones-Cross,Non-Fiction,2017,6,2021-09-07,Damaged,978-1-156-75665-2
978-1-188-60167-8,Diverse clear-thinking circuit,Philip Davies,Non-Fiction,2014,7,2021-08-15,Damaged,978-1-188-60167-8
978-1-923435-96-4,Reverse-engineered reciprocal definition,Mandy Lewis,Children,2013,8,2019-11-03,Damaged,978-1-923435-96-4
9780450566936,Phased motivating protocol,Timothy Robertson,Reference,1960,0,2026-06-24,Reserved,9780450566936
978-1-4024-2861-6,Focused needs-based infrastructure,Denis Ahmed,Fiction,2006,6,2021-01-19,Checked Out,978-1-4024-2861-6
978-0-571-40250-2,Advanced systematic core,Dr Guy Summers,Reference,1998,9,2020-12-01,Damaged,978-0-571-40250-2
978-1-76264-816-7,Open-architected methodical circuit,Michael Howell,Children,1973,4,2020-12-05,Available,978-1-76264-816-7
9781936806355,Decentralized tertiary orchestration,Gerard Smith,Children,2012,3,2020-07-15,Available,9781936806355
978-0-01-012789-8,Multi-layered 5thgeneration array,Alison Chambers,Reference,1956,2,2021-04-29,Available,978-0-01-012789-8
978-1-193-04852-9,Digitized context-sensitive customer loyalty,Mohammad Dixon,Children,1952,4,2025-06-17,Available,978-1-193-04852-9
978-1-58670-365-3,User-centric maximized alliance,Jamie Rogers,Fiction,2008,1,2020-11-04,Missing,978-1-58670-365-3
978-0-03-634443-9,Multi-tiered client-server process improvement,Ms Andrea Webster,Fiction,1967,9,2017-03-24,Reserved,978-0-03-634443-9
9781896331812,Public-key methodical utilization,Gerald Begum,Non-Fiction,1981,7,2019-06-06,Available,9781896331812
978-0-357-61707-6,Re-contextualized upward-trending open system,Helen Knight-Wilson,Non-Fiction,2004,5,2021-08-25,Damaged,978-0-357-61707-6
978-0-7445-7762-4,Up-sized 24hour moratorium,Marcus Woodward,Reference,1962,4,2021-09-26,Missing,978-0-7445-7762-4
978-0-636-78508-3,Triple-buffered value-added approach,Lewis Thompson,Young Adult,1978,5,2020-11-19,Reserved,978-0-636-78508-3
978-1-4759-4434-1,Networked executive frame,Marcus Miller-Collins,Fiction,1960,9,2024-10-23,Checked Out,978-1-4759-4434-1
978-0-9537740-3-6,Multi-channeled clear-thinking groupware,Mr Clifford Arnold,Children,1976,1,2022-10-05,Available,978-0-9537740-3-6
978-1-76874-042-1,Virtual grid-enabled Graphic Interface,Georgia Day,Fiction,1964,5,2016-10-08,Missing,978-1-76874-042-1
978-1-67514-975-1,Ergonomic actuating moratorium,Leigh James,Children,1997,6,2025-09-20,Damaged,978-1-67514-975-1
9781115733090,Upgradable methodical installation,Joyce Coleman,Non-Fiction,1961,3,2026-02-16,Damaged,9781115733090
978-0-09-406565-9,Phased analyzing customer loyalty,Mr Joseph Young,Fiction,1955,1,2017-08-19,Damaged,978-0-09-406565-9
978-0-445-38565-8,Stand-alone global middleware,Mr Guy Ahmed,Children,2022,3,2016-11-22,Available,978-0-445-38565-8
978-1-232-66000-2,Triple-buffered regional capacity,Kyle Whittaker,Young Adult,1996,6,2025-02-23,Available,978-1-232-66000-2
978-1-09-110349-8,Persistent encompassing definition,Alex Brown,Young Adult,1979,0,2021-07-14,Checked Out,978-1-09-110349-8
978-1-119-98996-7,Secured multi-tasking model,Alice Gilbert,Fiction,2006,3,2023-11-08,Damaged,978-1-119-98996-7
978-0-18-158374-5,Synergized solution-oriented budgetary management,Sam Bailey,Non-Fiction,1980,9,2025-11-11,Damaged,978-0-18-158374-5
978-1-144-77618-1,Balanced system-worthy parallelism,Kate Stewart-Collins,Fiction,1960,0,2024-07-12,Available,978-1-144-77618-1
978-1-04-796668-9,Programmable 24/7 service-desk,Gordon Davies,Children,2022,2,2022-11-29,Damaged,978-1-04-796668-9
978-0-525-65995-2,Monitored asynchronous emulation,Eileen Blake,Non-Fiction,1959,8,2024-03-09,Missing,978-0-525-65995-2
9780423302929,Diverse non-volatile installation,Oliver Marsh,Non-Fiction,1970,10,2020-12-17,Reserved,9780423302929
9781405473989,Object-based neutral superstructure,Ms Sara Simpson,Fiction,1950,6,2019-06-18,Available,9781405473989
978-0-214-05131-9,Compatible analyzing synergy,Henry Marshall,Non-Fiction,2017,6,2017-06-26,Reserved,978-0-214-05131-9
978-1-04-747338-5,Organized logistical policy,Rosie Blake-Douglas,Children,2004,6,2025-01-04,Available,978-1-04-747338-5
9781785247446,Intuitive multimedia pricing structure,Conor Clarke,Non-Fiction,1990,1,2025-05-31,Reserved,9781785247446
978-0-359-44102-0,Cloned incremental structure,Jodie Hancock,Non-Fiction,1993,8,2022-09-29,Available,978-0-359-44102-0
978-1-351-86647-7,Horizontal secondary capability,Jeremy Sanderson,Children,2010,1,2017-10-10,Available,978-1-351-86647-7
978-1-131-35183-4,Front-line demand-driven monitoring,Mr William Alexander,Reference,1953,0,2018-04-17,Reserved,978-1-131-35183-4
978-0-585-34658-8,Business-focused 5thgeneration encoding,Brian Wall,Children,1956,1,2023-04-18,Reserved,978-0-585-34658-8
978-1-398-85217-4,Stand-alone mobile approach,Mohamed Jackson-Smith,Non-Fiction,1958,1,2023-10-02,Missing,978-1-398-85217-4
978-1-990984-12-9,Multi-channeled background customer loyalty,Grace Jordan,Children,2002,0,2020-03-02,Checked Out,978-1-990984-12-9
978-1-58167-592-4,Right-sized 5thgeneration productivity,Sandra Dodd,Young Adult,2001,9,2025-03-05,Checked Out,978-1-58167-592-4
978-0-19-348918-9,Sharable 3rdgeneration hierarchy,Brandon Taylor,Children,2013,7,2016-11-01,Missing,978-0-19-348918-9
978-0-381-46342-7,Reactive dedicated paradigm,Gary Mason,Young Adult,2003,0,2018-01-18,Reserved,978-0-381-46342-7
978-1-219-59730-7,Front-line uniform ability,Margaret Hughes,Children,2014,5,2025-01-20,Damaged,978-1-219-59730-7
978-0-18-527341-3,Focused responsive methodology,Sian Bolton,Non-Fiction,1990,7,2019-02-05,Reserved,978-0-18-527341-3
978-1-61331-555-2,Upgradable real-time focus group,Dr Adam Lane,Fiction,1984,2,2025-08-21,Checked Out,978-1-61331-555-2
978-0-15-303044-4,Stand-alone mobile pricing structure,Mohamed Benson,Children,2001,4,2024-12-10,Available,978-0-15-303044-4
978-1-78110-965-6,Down-sized content-based core,Mr Glenn Oliver,Young Adult,1983,10,2016-10-13,Missing,978-1-78110-965-6
978-1-57663-454-7,Exclusive actuating moratorium,Stewart Foster-Davies,Young Adult,1964,7,2023-03-28,Reserved,978-1-57663-454-7
978-0-9912699-4-5,Open-architected disintermediate service-desk,Tracey Harris,Children,1963,8,2016-09-16,Checked Out,978-0-9912699-4-5
978-0-06-419106-7,Down-sized upward-trending attitude,Ms Jessica Turner,Young Adult,2013,1,2024-07-22,Available,978-0-06-419106-7
978-1-69100-822-3,Horizontal analyzing complexity,Russell Hammond,Children,2021,8,2025-06-01,Available,978-1-69100-822-3
978-0-16-826822-1,Quality-focused bandwidth-monitored concept,Mr Adrian Clarke,Young Adult,1957,5,2019-04-02,Missing,978-0-16-826822-1
978-1-56269-962-8,Multi-layered eco-centric challenge,Liam Reed,Fiction,1959,9,2018-07-20,Damaged,978-1-56269-962-8
978-0-479-10059-3,Switchable attitude-oriented synergy,Maurice Morley,Children,1995,7,2017-08-05,Available,978-0-479-10059-3
978-0-572-28703-0,Networked context-sensitive website,Valerie Watson,Reference,1971,6,2021-03-31,Damaged,978-0-572-28703-0
978-0-00-748597-0,Multi-lateral solution-oriented Internet solution,Dr Claire Jones,Reference,1998,5,2018-01-02,Available,978-0-00-748597-0
9781387129515,Team-oriented eco-centric capability,Ms Sally Hartley,Children,1984,4,2017-11-20,Available,9781387129515
978-1-205-80286-6,Horizontal contextually-based artificial intelligence,Paige Horton,Children,1985,2,2017-09-18,Missing,978-1-205-80286-6
978-1-04-802240-7,Fundamental asymmetric analyzer,Gordon Hayward-Storey,Children,1968,6,2025-12-30,Damaged,978-1-04-802240-7
978-1-4747-6950-1,Enterprise-wide 24hour algorithm,Mitchell Smith,Fiction,2017,8,2017-02-19,Available,978-1-4747-6950-1
978-1-189-85664-0,De-engineered zero tolerance flexibility,Eleanor Harvey-Glover,Children,1955,1,2022-06-17,Reserved,978-1-189-85664-0
978-0-16-556238-4,Open-source full-range encryption,Dr David Johnson,Fiction,1979,7,2018-09-03,Missing,978-0-16-556238-4
978-1-65699-313-7,Profound static leverage,Garry Fuller,Young Adult,1972,6,2024-07-14,Missing,978-1-65699-313-7
978-0-622-90113-8,Enterprise-wide responsive definition,Lesley Ellis,Children,2006,0,2026-03-30,Reserved,978-0-622-90113-8
9780479471990,Organic 4thgeneration policy,Glen Perry,Non-Fiction,1982,1,2018-07-14,Damaged,9780479471990
9780803514898,Innovative client-server help-desk,Ryan Hughes-Blake,Reference,2014,1,2024-08-06,Reserved,9780803514898
978-0-8294-4191-8,Intuitive motivating monitoring,Mr Declan Fraser,Non-Fiction,1950,7,2020-03-25,Damaged,978-0-8294-4191-8
978-1-905347-28-5,Virtual grid-enabled challenge,Heather Allen-Smith,Reference,1960,7,2016-07-05,Available,978-1-905347-28-5
978-1-167-30953-3,Versatile motivating leverage,Clare Brown,Fiction,2004,8,2017-07-08,Available,978-1-167-30953-3
978-1-70848-868-0,Cross-group next generation model,Denise Moran,Children,1978,6,2024-01-15,Reserved,978-1-70848-868-0
978-1-62925-822-5,Cloned bi-directional standardization,Charlotte Benson,Reference,2010,2,2020-05-06,Checked Out,978-1-62925-822-5
9780183235307,Business-focused optimizing secured line,Stanley Burgess-Marshall,Reference,2009,6,2016-12-24,Damaged,9780183235307
978-1-68467-678-1,Devolved uniform orchestration,Dr Damian Phillips,Fiction,1956,5,2020-09-05,Reserved,978-1-68467-678-1
978-1-4583-7449-3,Triple-buffered radical leverage,Conor Payne,Fiction,2008,1,2019-05-04,Reserved,978-1-4583-7449-3
978-1-5213-5317-2,Ergonomic bi-directional Internet solution,Mr Joel Stewart,Fiction,1953,7,2023-06-14,Damaged,978-1-5213-5317-2
978-1-59289-748-3,Innovative needs-based encoding,Miss Melissa Webster,Fiction,1960,7,2016-10-15,Reserved,978-1-59289-748-3
978-1-114-86267-8,Mandatory leadingedge framework,Luke Hughes,Fiction,2018,0,2017-07-26,Available,978-1-114-86267-8
978-0-19-976453-2,Managed incremental frame,Gerard Marshall,Young Adult,2010,8,2019-01-09,Reserved,978-0-19-976453-2
9781551564197,Distributed coherent structure,Lynn Fox-Barnes,Non-Fiction,2014,4,2024-08-05,Reserved,9781551564197
978-1-896300-93-1,Sharable bandwidth-monitored Graphic Interface,Joel Osborne,Children,2008,6,2016-07-07,Available,978-1-896300-93-1
978-0-01-630159-9,Seamless dedicated strategy,Guy Walsh,Reference,2004,7,2018-07-08,Damaged,978-0-01-630159-9
978-0-242-28483-3,Exclusive actuating policy,Alexandra Fraser,Fiction,2005,6,2024-08-16,Damaged,978-0-242-28483-3
978-0-7668-0984-0,Profound client-driven extranet,Victoria Nelson,Non-Fiction,1961,9,2019-12-20,Checked Out,978-0-7668-0984-0
978-0-18-040334-1,Cloned local throughput,Kayleigh Griffiths,Non-Fiction,2020,3,2017-03-03,Reserved,978-0-18-040334-1
978-0-537-35866-9,Programmable reciprocal intranet,Clare Garner,Reference,1965,4,2018-04-28,Checked Out,978-0-537-35866-9
978-0-554-46053-6,Polarized bandwidth-monitored Graphical User Interface,Jonathan Cook,Fiction,1969,1,2025-12-25,Reserved,978-0-554-46053-6
978-1-09-674627-0,Reduced reciprocal portal,Jay Matthews-Jones,Non-Fiction,2007,2,2024-10-07,Reserved,978-1-09-674627-0
978-0-536-49911-0,Seamless analyzing core,Georgina Pearce,Reference,2012,8,2024-04-09,Checked Out,978-0-536-49911-0
978-1-67285-021-6,Programmable bi-directional moratorium,Dr Danny Taylor,Non-Fiction,2004,7,2018-12-31,Reserved,978-1-67285-021-6
978-1-383-07755-1,Persevering disintermediate utilization,Dr Geoffrey Barlow,Fiction,2017,10,2016-09-12,Missing,978-1-383-07755-1
978-0-262-64395-5,Synergized neutral help-desk,Francis Harrison,Fiction,1971,10,2019-04-04,Available,978-0-262-64395-5
978-1-84460-789-1,Secured web-enabled model,Charlie Goddard-Cook,Children,2024,4,2021-12-29,Reserved,978-1-84460-789-1
978-1-5199-1981-6,Right-sized methodical approach,Maria Edwards,Young Adult,2000,9,2023-10-16,Missing,978-1-5199-1981-6
978-1-55129-441-4,Distributed static challenge,Terry Hughes,Reference,1953,1,2022-09-13,Checked Out,978-1-55129-441-4
978-0-531-64982-4,Up-sized holistic hub,Julian Shaw,Non-Fiction,1993,6,2024-08-01,Checked Out,978-0-531-64982-4
978-1-9747-7656-6,Diverse 5thgeneration application,Shaun Booth-Allan,Fiction,2018,3,2021-12-25,Damaged,978-1-9747-7656-6
978-0-7055-4943-1,Progressive uniform time-frame,Richard Naylor,Fiction,1951,8,2020-10-25,Missing,978-0-7055-4943-1
978-0-687-71569-5,Face-to-face foreground structure,Mr Abdul Noble,Fiction,1969,5,2017-07-08,Damaged,978-0-687-71569-5
978-0-09-490763-8,Phased mobile installation,Damien Hooper,Fiction,1958,6,2025-03-30,Checked Out,978-0-09-490763-8
978-0-535-97710-7,Re-engineered encompassing projection,Lisa Norman-Middleton,Fiction,2000,3,2022-10-24,Damaged,978-0-535-97710-7
978-0-15-477349-4,Seamless bi-directional collaboration,Louis Wood-Nelson,Fiction,1978,5,2018-06-06,Reserved,978-0-15-477349-4
978-0-14-872255-2,Networked impactful conglomeration,Yvonne Berry,Reference,1995,9,2024-03-05,Available,978-0-14-872255-2
978-1-64135-474-5,Distributed modular capacity,Olivia Price-Brown,Children,1965,6,2022-03-01,Damaged,978-1-64135-474-5
978-1-85573-952-9,Virtual interactive leverage,Shannon Brown-Collins,Young Adult,1959,6,2017-12-12,Damaged,978-1-85573-952-9
978-0-85558-095-7,Reverse-engineered coherent help-desk,Marion Davies,Non-Fiction,2023,6,2023-03-29,Reserved,978-0-85558-095-7
978-1-75816-602-6,Multi-lateral full-range solution,Ross Harding,Reference,2000,3,2025-10-26,Damaged,978-1-75816-602-6
978-0-362-33470-8,Open-source static migration,Victoria Marsden,Fiction,1966,5,2025-01-08,Checked Out,978-0-362-33470-8
978-0-7146-9714-7,Adaptive 5thgeneration help-desk,Miss Amelia Saunders,Young Adult,2015,7,2025-11-10,Checked Out,978-0-7146-9714-7
978-1-341-85595-5,Business-focused value-added secured line,Claire Jones-Peters,Non-Fiction,1957,9,2018-06-27,Checked Out,978-1-341-85595-5
978-0-7456-0170-0,Right-sized demand-driven moderator,Jason Shah,Non-Fiction,1991,4,2020-12-27,Reserved,978-0-7456-0170-0
9781101759004,Advanced methodical projection,Ms Pauline Parsons,Fiction,2020,0,2023-01-12,Damaged,9781101759004
978-1-06-794907-5,Enhanced executive concept,Ashleigh Hodgson,Reference,1984,0,2022-01-14,Missing,978-1-06-794907-5
978-0-85516-215-3,De-engineered dynamic solution,Teresa Wright,Young Adult,2021,7,2017-06-19,Checked Out,978-0-85516-215-3
978-1-76353-673-9,Phased asymmetric alliance,Ms June Whittaker,Reference,2013,1,2017-04-02,Missing,978-1-76353-673-9
978-1-896070-72-8,Decentralized needs-based Internet solution,Billy Barker,Non-Fiction,1986,1,2021-12-06,Available,978-1-896070-72-8
978-0-413-35139-5,Reduced systemic strategy,Dr Callum Bates,Fiction,1950,6,2022-10-09,Damaged,978-0-413-35139-5
978-0-430-97427-0,Visionary modular solution,Ian Browne-Doherty,Children,2019,4,2017-01-18,Missing,978-0-430-97427-0
978-0-663-57967-9,Extended well-modulated middleware,Emma Taylor-Fisher,Children,1980,9,2021-10-17,Checked Out,978-0-663-57967-9
978-1-80300-735-9,Adaptive eco-centric pricing structure,Jordan Swift-Barker,Fiction,1950,4,2021-12-19,Damaged,978-1-80300-735-9
978-1-82608-252-4,Persistent directional capacity,Alison Rose,Fiction,1978,5,2022-03-02,Damaged,978-1-82608-252-4
978-0-7941-2886-9,Managed actuating pricing structure,Ms Barbara Gray,Fiction,2018,9,2019-07-18,Damaged,978-0-7941-2886-9
978-0-12-232142-9,Assimilated systematic hierarchy,Mr Martyn Chandler,Fiction,1999,4,2021-12-08,Missing,978-0-12-232142-9
978-0-611-97892-9,Fully-configurable dedicated database,Declan Bishop,Non-Fiction,2010,5,2018-07-16,Missing,978-0-611-97892-9
978-1-65744-653-3,Switchable discrete Graphic Interface,Marcus Howard-Lee,Fiction,1986,4,2021-12-28,Damaged,978-1-65744-653-3
978-1-5441-1818-5,Seamless responsive workforce,Arthur Foster,Reference,1956,10,2019-11-22,Reserved,978-1-5441-1818-5
978-0-367-38052-6,User-friendly motivating architecture,Jayne Wilkinson-Turnbull,Reference,1981,0,2022-08-24,Reserved,978-0-367-38052-6
978-0-88193-768-8,Cloned grid-enabled Graphical User Interface,Dr Valerie Ahmed,Young Adult,1951,2,2017-10-30,Damaged,978-0-88193-768-8
978-0-8471-4622-2,Enterprise-wide maximized customer loyalty,Karen Allan,Reference,2023,0,2020-05-30,Checked Out,978-0-8471-4622-2
9780483335400,Persistent 5thgeneration focus group,Dr Robert Harris,Young Adult,2004,4,2017-11-25,Reserved,9780483335400
978-0-272-83603-3,Self-enabling 6thgeneration flexibility,Mathew Bartlett,Fiction,1974,0,2022-08-04,Available,978-0-272-83603-3
978-1-64770-906-8,Robust client-server process improvement,Vanessa Dixon-Oliver,Children,1956,1,2018-06-14,Missing,978-1-64770-906-8
978-1-183-76295-4,Switchable logistical matrix,Mr Conor Brown,Reference,1991,7,2019-01-14,Reserved,978-1-183-76295-4
978-1-67162-172-5,Organized zero tolerance analyzer,Lesley Gray,Children,2011,3,2018-06-27,Missing,978-1-67162-172-5
978-1-888680-41-6,Persevering intermediate access,Naomi Griffiths-Wheeler,Reference,1950,8,2023-11-14,Reserved,978-1-888680-41-6
978-0-03-264564-6,Right-sized non-volatile Local Area Network,Maria Murphy,Non-Fiction,2012,4,2025-06-12,Available,978-0-03-264564-6
978-1-4199-1605-2,Synergistic local data-warehouse,Claire Pollard,Young Adult,1970,8,2023-10-24,Checked Out,978-1-4199-1605-2
978-0-649-09703-6,Pre-emptive value-added architecture,Kirsty Thompson,Reference,1991,0,2025-02-24,Damaged,978-0-649-09703-6
978-0-519-70181-0,Intuitive holistic matrix,Patrick Hammond,Non-Fiction,1994,5,2022-02-18,Checked Out,978-0-519-70181-0
9780368296703,Fully-configurable coherent capacity,Deborah Clark,Non-Fiction,1951,5,2024-09-28,Checked Out,9780368296703
978-1-215-31936-1,Profit-focused multimedia interface,Danny Walker,Reference,1996,1,2017-03-05,Reserved,978-1-215-31936-1
978-1-260-22169-5,Open-architected intermediate algorithm,Thomas Richards,Children,1957,1,2019-07-31,Checked Out,978-1-260-22169-5
9781548029333,Team-oriented web-enabled paradigm,Dr Tracy Read,Children,1970,4,2017-05-20,Damaged,9781548029333
978-0-8439-1065-0,Open-source next generation Graphical User Interface,Howard Andrews-Todd,Fiction,1961,7,2019-12-31,Missing,978-0-8439-1065-0
978-0-517-45469-5,Expanded uniform info-mediaries,Conor Stewart,Reference,2010,10,2017-03-27,Reserved,978-0-517-45469-5
978-1-102-14012-2,Automated grid-enabled customer loyalty,Dean Bailey-Morton,Fiction,1996,1,2021-06-19,Checked Out,978-1-102-14012-2
9780195589795,Horizontal non-volatile contingency,Mr Michael Holmes,Reference,1965,8,2017-02-26,Reserved,9780195589795
978-0-597-17717-0,Business-focused methodical success,Iain Poole,Fiction,2015,0,2024-12-18,Reserved,978-0-597-17717-0
978-0-05-687094-9,Future-proofed heuristic initiative,Mrs Jade Wright,Fiction,1987,1,2016-10-04,Checked Out,978-0-05-687094-9
978-0-460-51648-8,Phased static concept,Dr Leanne Davis,Fiction,1950,7,2024-11-20,Reserved,978-0-460-51648-8
978-1-337-68418-7,Fully-configurable upward-trending definition,Roy Clarke,Fiction,1985,5,2023-10-09,Available,978-1-337-68418-7
978-1-77600-643-4,Reverse-engineered non-volatile artificial intelligence,Henry Gray,Children,2004,9,2023-01-11,Missing,978-1-77600-643-4
978-1-9731-7303-8,Enterprise-wide mission-critical attitude,Ms Diane Price,Non-Fiction,1977,2,2021-04-24,Damaged,978-1-9731-7303-8
978-0-496-75745-9,Total cohesive superstructure,Chelsea Ryan,Young Adult,1968,6,2024-02-12,Missing,978-0-496-75745-9
978-0-484-80947-4,Progressive interactive budgetary management,William Palmer,Reference,2024,4,2017-02-16,Damaged,978-0-484-80947-4
978-0-8156-0542-3,Versatile neutral core,Mrs Mandy O'Sullivan,Non-Fiction,2015,7,2016-10-14,Missing,978-0-8156-0542-3
9780799594768,Multi-channeled coherent framework,Shaun Brown,Non-Fiction,1955,9,2019-08-21,Checked Out,9780799594768
978-0-10-797647-7,Stand-alone national data-warehouse,Miss Louise Hammond,Children,1972,3,2017-08-29,Missing,978-0-10-797647-7
978-1-56572-897-4,Triple-buffered dedicated projection,Dr Frank Richards,Fiction,1998,0,2020-06-11,Reserved,978-1-56572-897-4
9780693485407,Integrated empowering frame,Emma Mills,Young Adult,1975,6,2022-05-04,Available,9780693485407
978-0-9846856-0-8,Pre-emptive real-time neural-net,Natalie Barlow-Cook,Young Adult,1960,2,2018-02-14,Reserved,978-0-9846856-0-8
978-1-992613-82-9,Triple-buffered regional artificial intelligence,Linda Davies,Fiction,1976,7,2019-07-19,Checked Out,978-1-992613-82-9
978-1-09-777795-2,Monitored global analyzer,Miss Elaine Potts,Reference,1988,9,2023-01-14,Available,978-1-09-777795-2
978-0-399-62637-1,Adaptive 4thgeneration interface,Reece James,Non-Fiction,1990,8,2023-01-05,Available,978-0-399-62637-1
978-0-7110-7351-7,Ergonomic cohesive application,Mary Lee-Graham,Reference,1978,6,2018-02-03,Damaged,978-0-7110-7351-7
978-1-220-68243-6,Grass-roots maximized access,Tracy Bishop-Robinson,Reference,1986,3,2019-06-16,Damaged,978-1-220-68243-6
978-0-330-23993-6,Intuitive actuating archive,Nicole Jones,Children,1976,6,2019-06-15,Reserved,978-0-330-23993-6
978-1-60606-943-1,Ameliorated next generation pricing structure,Rachel Wood,Non-Fiction,1960,10,2024-12-15,Reserved,978-1-60606-943-1
978-1-952357-86-2,Progressive foreground support,Henry Davies-Shah,Children,1985,5,2019-09-23,Damaged,978-1-952357-86-2
978-0-941285-37-7,Cloned non-volatile definition,Lorraine Butler,Reference,1965,5,2019-04-06,Available,978-0-941285-37-7
978-0-644-88548-5,Multi-tiered fault-tolerant definition,Claire Harvey,Reference,2024,5,2017-08-28,Available,978-0-644-88548-5
978-1-311-98042-7,Devolved 4thgeneration open system,Charlie Riley,Children,1998,3,2025-09-06,Available,978-1-311-98042-7
978-1-4280-5376-2,Extended responsive help-desk,Kevin Graham,Reference,2007,9,2025-08-28,Missing,978-1-4280-5376-2
978-0-550-78688-3,Phased multi-state task-force,Ms Linda Reynolds,Reference,2011,6,2022-06-11,Checked Out,978-0-550-78688-3
9781020392214,Persevering optimal orchestration,Mohammad Lucas,Non-Fiction,1955,2,2022-01-22,Checked Out,9781020392214
978-0-7019-5866-4,Enhanced non-volatile extranet,John Hughes,Fiction,1985,2,2017-11-25,Checked Out,978-0-7019-5866-4
978-0-87987-287-8,Profit-focused regional access,Rosemary Parsons,Non-Fiction,1978,8,2017-06-13,Missing,978-0-87987-287-8
978-0-424-95629-9,Polarized grid-enabled focus group,Clive Higgins,Non-Fiction,1963,10,2022-12-10,Missing,978-0-424-95629-9
978-1-964416-03-8,Operative responsive workforce,Douglas Blake-Murphy,Young Adult,1950,2,2020-10-08,Reserved,978-1-964416-03-8
978-0-88807-005-0,Integrated uniform access,Leon Rahman,Fiction,1969,7,2022-02-05,Available,978-0-88807-005-0
978-0-287-45120-7,Customizable context-sensitive algorithm,Kelly Sullivan,Children,1950,0,2026-02-11,Reserved,978-0-287-45120-7
978-0-01-754541-1,Progressive solution-oriented capability,Joel Hall-Tomlinson,Non-Fiction,2019,6,2019-07-26,Damaged,978-0-01-754541-1
978-1-879210-46-2,Open-architected global process improvement,Miss Dawn Bowen,Young Adult,2015,4,2022-01-30,Damaged,978-1-879210-46-2
978-0-7501-5269-3,Realigned motivating groupware,Sandra Roberts,Fiction,2013,10,2018-02-13,Checked Out,978-0-7501-5269-3
978-1-4203-6078-3,Re-engineered demand-driven algorithm,Joanne Duffy-Brown,Young Adult,1955,2,2023-01-11,Damaged,978-1-4203-6078-3
978-1-83309-587-6,Realigned clear-thinking parallelism,Dr John Edwards,Children,2011,8,2019-05-07,Missing,978-1-83309-587-6
978-0-8368-0601-4,Diverse analyzing workforce,Dr Connor Davis,Young Adult,2004,3,2019-07-18,Damaged,978-0-8368-0601-4
978-1-79232-671-4,Devolved composite attitude,Dr Megan Pearson,Reference,1953,5,2019-06-18,Checked Out,978-1-79232-671-4
978-1-81970-150-0,Exclusive real-time structure,Rhys Baker,Young Adult,1974,8,2017-12-03,Available,978-1-81970-150-0
978-1-79720-925-8,Monitored clear-thinking encryption,Anthony Ward,Reference,2017,2,2019-04-24,Checked Out,978-1-79720-925-8
978-0-01-828523-1,Integrated demand-driven strategy,Josephine Jenkins,Non-Fiction,1955,9,2020-01-22,Damaged,978-0-01-828523-1
978-0-9704937-9-8,Inverse local help-desk,Ms Jasmine Wilson,Fiction,1961,9,2016-10-22,Missing,978-0-9704937-9-8
978-0-915855-11-7,Monitored system-worthy extranet,Barbara James,Reference,1971,4,2024-08-23,Damaged,978-0-915855-11-7
978-0-9714920-7-3,Phased scalable focus group,Dr Harry Clarke,Young Adult,1956,10,2021-05-06,Damaged,978-0-9714920-7-3
978-1-4142-4873-8,De-engineered system-worthy throughput,Lucy Lawrence,Children,1962,8,2026-03-17,Damaged,978-1-4142-4873-8
9780625918836,Enterprise-wide bottom-line throughput,Elaine Davies,Non-Fiction,1963,0,2021-01-09,Missing,9780625918836
978-0-497-73677-4,Switchable 24/7 protocol,Ann Thomson,Reference,2002,3,2023-01-01,Damaged,978-0-497-73677-4
978-1-4343-5497-6,Devolved multi-tasking middleware,Leon Wood,Young Adult,2017,10,2024-06-13,Checked Out,978-1-4343-5497-6
978-0-9657156-4-5,Synergistic contextually-based service-desk,Charlie Holland-Woods,Reference,1958,6,2017-11-19,Missing,978-0-9657156-4-5
978-0-299-03480-1,Optimized well-modulated budgetary management,Marian Hussain,Reference,1999,0,2025-04-14,Available,978-0-299-03480-1
978-0-479-60009-3,Networked well-modulated paradigm,Leigh Hughes,Young Adult,2001,8,2023-05-14,Missing,978-0-479-60009-3
